Algorithm;Hyperparameter (C);Values
G/UCT; 1e-05; 0.0502234, 0.0896572, 0.0583554, 0.0951667, 0.134458, 0.0399339, 0.0737572, 0.0440675, 0.0494427, 0.133394, 0.149961, 0.132555, 0.125783, 0.0836893, 0.047122, 0.149544, 0.0492941, 0.134199, 0.0400746, 0.129482, 0.159572, 0.124977, 0.146716, 0.0527501, 0.0467473, 0.0528706, 0.0507048, 0.14084, 0.0492837, 0.151199, 0.0389274, 0.136555, 0.0494906, 0.138567, 0.0485838, 0.0538541, 0.117333, 0.142667, 0.0530649, 0.130583, 0.0596937, 0.141494, 0.105278, 0.0988368, 0.0785603, 0.163899, 0.111333, 0.149169, 0.146689, 0.159819, 0.103561, 0.164147, 0.16222, 0.0438204, 0.15093, 0.100327, 0.0607119, 0.16419, 0.130347, 0.13377, 0.12936, 0.0442579, 0.127187, 0.13359, 0.131902, 0.156744, 0.137556, 0.121259, 0.149544, 0.117214, 0.137407, 0.141159, 0.136631, 0.141943, 0.15093, 0.138102, 0.113321, 0.128111, 0.113219, 0.150882, 0.139931, 0.138434, 0.138013, 0.135503, 0.15638, 0.116113, 0.145571, 0.143941, 0.035022, 0.0442542, 0.151573, 0.149791, 0.155386, 0.0432858, 0.156881, 0.142538, 0.10283, 0.155406, 0.118758, 0.13618, 
G/Tun; 1e-05; 0.0487995, 0.0489914, 0.0559733, 0.143731, 0.0534997, 0.147554, 0.0501637, 0.112737, 0.143577, 0.0496115, 0.0446217, 0.13914, 0.0590341, 0.16009, 0.0413315, 0.126559, 0.045928, 0.130233, 0.0517122, 0.125805, 0.0490666, 0.0561732, 0.149542, 0.160244, 0.0483707, 0.128902, 0.0745383, 0.0498451, 0.153519, 0.13086, 0.04289, 0.144801, 0.0561284, 0.152435, 0.0512592, 0.103533, 0.136088, 0.154634, 0.139743, 0.155397, 0.0595301, 0.137954, 0.133139, 0.0597702, 0.136861, 0.138784, 0.133456, 0.137077, 0.111217, 0.137325, 0.0474857, 0.143792, 0.0836893, 0.0563739, 0.138426, 0.129457, 0.128498, 0.0594562, 0.137486, 0.140947, 0.0530649, 0.16377, 0.161115, 0.148202, 0.137865, 0.0852122, 0.0956793, 0.142498, 0.102324, 0.153485, 0.163899, 0.141223, 0.130302, 0.0517894, 0.050967, 0.137865, 0.0655541, 0.153519, 0.144665, 0.103384, 0.12866, 0.146572, 0.147143, 0.131825, 0.0508651, 0.152435, 0.04756, 0.142426, 0.0474153, 0.042991, 0.137273, 0.159891, 0.0590658, 0.150319, 0.133118, 0.147925, 0.121928, 0.147394, 0.122889, 0.14714, 
G/SP; 1e-05; 0.0190124, 0.0229074, 0.020558, 0.0168015, 0.0187375, 0.021473, 0.0232944, 0.020774, 0.0243532, 0.0227095, 0.0149584, 0.0197538, 0.0242098, 0.0165551, 0.0285388, 0.0182787, 0.0258217, 0.0219306, 0.015998, 0.030293, 0.0218876, 0.0315765, 0.0183474, 0.0188817, 0.0178716, 0.0203846, 0.0206979, 0.0192827, 0.0358538, 0.0296891, 0.0157823, 0.0295739, 0.019045, 0.0239747, 0.0208871, 0.0292754, 0.0159717, 0.024086, 0.0308215, 0.0252882, 0.0233534, 0.0157657, 0.0219529, 0.0190179, 0.017498, 0.028652, 0.0361402, 0.0139932, 0.016331, 0.0230009, 0.0163858, 0.0300646, 0.0207663, 0.0278656, 0.0240334, 0.0170086, 0.0213244, 0.0218431, 0.0158083, 0.0157678, 0.0331317, 0.0297382, 0.0257353, 0.0261506, 0.0282568, 0.0243336, 0.0273579, 0.0186019, 0.026064, 0.0251572, 0.0210234, 0.0214116, 0.0220932, 0.016374, 0.021127, 0.0196246, 0.0199723, 0.0237868, 0.0262077, 0.023576, 0.0240399, 0.0300607, 0.0345885, 0.0240026, 0.0232568, 0.0313242, 0.0181422, 0.0223367, 0.0229587, 0.0332082, 0.0338288, 0.0322272, 0.0268483, 0.0153509, 0.0155784, 0.0204768, 0.0285489, 0.0264212, 0.0280261, 0.0187075, 
G/Dep; 1e-05; 0.0485507, 0.0480231, 0.0541855, 0.0587066, 0.112751, 0.0430414, 0.0512323, 0.132704, 0.0414315, 0.0506582, 0.0486854, 0.0836893, 0.0512619, 0.142644, 0.0497653, 0.120591, 0.096957, 0.160244, 0.0504207, 0.0575906, 0.0449684, 0.0498451, 0.120528, 0.130635, 0.151656, 0.0488371, 0.0505038, 0.149286, 0.153519, 0.133841, 0.161115, 0.142498, 0.147554, 0.159891, 0.148612, 0.137298, 0.14757, 0.137695, 0.0645403, 0.128213, 0.132197, 0.140632, 0.128535, 0.119399, 0.141463, 0.0420478, 0.0604058, 0.140594, 0.139914, 0.0498755, 0.125564, 0.0543405, 0.0637235, 0.13761, 0.140548, 0.0393987, 0.149791, 0.119938, 0.100132, 0.145085, 0.145351, 0.0960261, 0.137216, 0.142258, 0.152089, 0.141223, 0.0451774, 0.163717, 0.140844, 0.108654, 0.099303, 0.147949, 0.16377, 0.0474091, 0.139567, 0.117742, 0.146062, 0.0570571, 0.0499962, 0.058189, 0.1293, 0.157635, 0.163717, 0.0618173, 0.049009, 0.0414446, 0.0528831, 0.0565006, 0.160636, 0.131682, 0.137477, 0.160697, 0.0461824, 0.160084, 0.139322, 0.146476, 0.140785, 0.13529, 0.149034, 0.135147, 
G/Gre; 1e-05; 0.0502234, 0.134458, 0.0442542, 0.0440675, 0.0528706, 0.0583554, 0.0494427, 0.0494906, 0.134199, 0.124977, 0.047122, 0.149961, 0.0737572, 0.0492941, 0.0538541, 0.133394, 0.149544, 0.0485838, 0.0896572, 0.0467473, 0.136555, 0.117333, 0.0400746, 0.0389274, 0.0442579, 0.130583, 0.0507048, 0.0785603, 0.132555, 0.125783, 0.0530649, 0.155386, 0.0399339, 0.0492837, 0.0988368, 0.0951667, 0.105278, 0.12936, 0.146716, 0.0836893, 0.151199, 0.137556, 0.0596937, 0.103561, 0.15093, 0.142667, 0.16222, 0.121259, 0.14084, 0.113321, 0.159819, 0.151573, 0.163899, 0.150882, 0.156881, 0.127187, 0.138102, 0.128111, 0.136631, 0.159572, 0.130347, 0.149544, 0.0432858, 0.137407, 0.156744, 0.138013, 0.131902, 0.100327, 0.113219, 0.0607119, 0.155406, 0.117214, 0.142538, 0.146689, 0.141494, 0.10283, 0.149169, 0.145571, 0.118758, 0.143941, 0.141943, 0.139931, 0.13377, 0.15638, 0.164147, 0.13359, 0.138434, 0.135503, 0.0527501, 0.138567, 0.0438204, 0.035022, 0.129482, 0.16419, 0.15093, 0.111333, 0.149791, 0.116113, 0.141159, 0.13618, 
G/Sqrt; 1e-05; 0.0502234, 0.134458, 0.047122, 0.0494906, 0.0583554, 0.0440675, 0.0896572, 0.132555, 0.0442542, 0.0951667, 0.0528706, 0.035022, 0.0836893, 0.151199, 0.0494427, 0.0492941, 0.136555, 0.129482, 0.134199, 0.149961, 0.0507048, 0.117333, 0.137556, 0.0485838, 0.0785603, 0.130583, 0.149544, 0.0492837, 0.0596937, 0.159819, 0.0530649, 0.12936, 0.0400746, 0.0737572, 0.163899, 0.128111, 0.16419, 0.146716, 0.0389274, 0.13377, 0.113321, 0.164147, 0.150882, 0.127187, 0.131902, 0.0399339, 0.16222, 0.121259, 0.111333, 0.142667, 0.130347, 0.100327, 0.10283, 0.155406, 0.14084, 0.138013, 0.15093, 0.149544, 0.0988368, 0.143941, 0.105278, 0.156744, 0.118758, 0.149169, 0.137407, 0.145571, 0.138102, 0.156881, 0.139931, 0.0432858, 0.142538, 0.141159, 0.103561, 0.149791, 0.138434, 0.13618, 0.0607119, 0.136631, 0.15638, 0.13359, 0.116113, 0.124977, 0.135503, 0.141943, 0.133394, 0.0538541, 0.155386, 0.159572, 0.146689, 0.125783, 0.0527501, 0.138567, 0.0438204, 0.0442579, 0.0467473, 0.151573, 0.15093, 0.141494, 0.117214, 0.113219, 
G/UCT; 2.15443e-05; 0.0497695, 0.100594, 0.0540571, 0.142531, 0.126264, 0.0490685, 0.0553022, 0.0474538, 0.0591356, 0.0497789, 0.0556414, 0.0554316, 0.117914, 0.0524939, 0.0490582, 0.113301, 0.139903, 0.0537782, 0.122297, 0.164121, 0.0504278, 0.131002, 0.123227, 0.128166, 0.163899, 0.134584, 0.0604139, 0.0565774, 0.106244, 0.14281, 0.0508388, 0.137995, 0.126373, 0.0467003, 0.113653, 0.133863, 0.144723, 0.053975, 0.0458465, 0.148472, 0.151408, 0.159923, 0.138993, 0.155155, 0.128393, 0.128675, 0.136639, 0.164284, 0.104413, 0.108988, 0.138781, 0.138463, 0.110909, 0.0522557, 0.0488929, 0.107252, 0.145426, 0.0774576, 0.0550082, 0.0513452, 0.0572864, 0.13992, 0.158755, 0.12893, 0.0882729, 0.163899, 0.136534, 0.057174, 0.15198, 0.124499, 0.0873695, 0.160411, 0.102172, 0.132277, 0.131563, 0.129366, 0.149921, 0.139311, 0.126789, 0.133015, 0.0515083, 0.144002, 0.109955, 0.151444, 0.138037, 0.163899, 0.0543137, 0.0507479, 0.131288, 0.131108, 0.140248, 0.150591, 0.129969, 0.0488935, 0.131397, 0.147456, 0.142137, 0.059582, 0.148546, 0.151199, 
G/Tun; 2.15443e-05; 0.0553346, 0.137924, 0.047122, 0.037859, 0.0636178, 0.143905, 0.035022, 0.0492837, 0.0737572, 0.126206, 0.1076, 0.0442542, 0.0976739, 0.098933, 0.0457474, 0.0504561, 0.0440675, 0.141731, 0.0467473, 0.139677, 0.113195, 0.0970602, 0.0503083, 0.124977, 0.0482295, 0.135277, 0.0527626, 0.0507246, 0.0493513, 0.130583, 0.0523227, 0.134223, 0.14606, 0.0541716, 0.133483, 0.0613597, 0.13308, 0.16419, 0.133983, 0.0427531, 0.0878177, 0.131904, 0.130019, 0.135941, 0.133461, 0.138472, 0.142979, 0.144624, 0.140596, 0.149169, 0.127458, 0.127187, 0.14084, 0.151573, 0.142667, 0.136758, 0.140339, 0.0948308, 0.144365, 0.137297, 0.15408, 0.163899, 0.15093, 0.155775, 0.156744, 0.12876, 0.136631, 0.0530649, 0.160636, 0.0463805, 0.138013, 0.139561, 0.152267, 0.153131, 0.134202, 0.136909, 0.138434, 0.11174, 0.0586207, 0.109394, 0.152435, 0.16905, 0.143941, 0.148631, 0.145571, 0.149791, 0.0461031, 0.114226, 0.0521143, 0.125783, 0.0464927, 0.148861, 0.0512167, 0.135941, 0.0497789, 0.139703, 0.13822, 0.0988368, 0.168639, 0.113219, 
G/SP; 2.15443e-05; 0.0187075, 0.0165551, 0.0297382, 0.0210234, 0.0208871, 0.0358538, 0.015998, 0.0315765, 0.0227095, 0.0273579, 0.0218431, 0.0157678, 0.0300607, 0.0168015, 0.020558, 0.0183474, 0.0192827, 0.030293, 0.0196246, 0.0285388, 0.0264212, 0.0163858, 0.0155784, 0.0190124, 0.0230009, 0.0232944, 0.0332082, 0.0187375, 0.0296891, 0.0285489, 0.016374, 0.0240334, 0.0219306, 0.0295739, 0.019045, 0.0149584, 0.0158083, 0.0239747, 0.0361402, 0.0213244, 0.0157823, 0.0313242, 0.0207663, 0.0240026, 0.0199723, 0.0190179, 0.0243336, 0.0204768, 0.0280261, 0.0258217, 0.0345885, 0.0153509, 0.0232568, 0.0240399, 0.0261506, 0.0257353, 0.021473, 0.020774, 0.016331, 0.0218876, 0.0233534, 0.0157657, 0.0220932, 0.0282568, 0.0223367, 0.0229587, 0.0268483, 0.0206979, 0.0278656, 0.0237868, 0.0292754, 0.0182787, 0.0214116, 0.0139932, 0.0338288, 0.0188817, 0.023576, 0.0331317, 0.0186019, 0.0308215, 0.0159717, 0.024086, 0.0219529, 0.0322272, 0.0252882, 0.026064, 0.0197538, 0.0242098, 0.0203846, 0.0181422, 0.028652, 0.0170086, 0.0251572, 0.0262077, 0.0300646, 0.0229074, 0.0243532, 0.017498, 0.021127, 0.0178716, 
G/Dep; 2.15443e-05; 0.0498835, 0.0425792, 0.128896, 0.0570398, 0.0958206, 0.102088, 0.0490817, 0.0387311, 0.107168, 0.0446064, 0.0636178, 0.13813, 0.152171, 0.037733, 0.125968, 0.0430107, 0.122918, 0.0630207, 0.0465065, 0.144679, 0.142619, 0.0535717, 0.0554268, 0.122382, 0.115831, 0.135094, 0.0453355, 0.0436733, 0.130347, 0.138362, 0.0474797, 0.155763, 0.0378439, 0.117152, 0.0482383, 0.147702, 0.0520855, 0.111017, 0.139532, 0.126227, 0.14606, 0.0484863, 0.130024, 0.163899, 0.0511596, 0.15093, 0.153486, 0.126949, 0.144255, 0.0467473, 0.123078, 0.157273, 0.0509654, 0.146236, 0.13785, 0.137028, 0.12842, 0.152267, 0.0886519, 0.15981, 0.151656, 0.130681, 0.129115, 0.163717, 0.15462, 0.150882, 0.0422338, 0.0538111, 0.0433459, 0.129561, 0.139931, 0.0987267, 0.143044, 0.0753353, 0.163514, 0.160139, 0.0455704, 0.14028, 0.0645966, 0.119517, 0.156744, 0.132533, 0.0455634, 0.159643, 0.0572424, 0.144766, 0.0488918, 0.143286, 0.0487557, 0.1368, 0.0470673, 0.0515487, 0.127965, 0.131245, 0.0493987, 0.141343, 0.138444, 0.149879, 0.131352, 0.0928878, 
