Algorithm;Hyperparameter (C);Values
Normal; 1e-05; 0.103715, 0.0699648, 0.0744602, 0.0625824, 0.0416147, 0.0798362, 0.0586051, 0.0825813, 0.0492726, 0.0602366, 0.0854937, 0.0914165, 0.0766693, 0.0393212, 0.0696911, 0.118538, 0.0551286, 0.0782782, 0.0971268, 0.0713646, 0.0550275, 0.0653309, 0.0438627, 0.102255, 0.0873949, 0.0296152, 0.076234, 0.11103, 0.0728985, 0.0552368, 0.0558797, 0.0750768, 0.0545514, 0.063425, 0.066645, 0.0945247, 0.0837377, 0.0784244, 0.0524176, 0.0949138, 0.077979, 0.0848024, 0.0343987, 0.0922269, 0.0845292, 0.0973908, 0.102006, 0.0641735, 0.0594404, 0.0790094, 0.0475851, 0.0860459, 0.0970138, 0.0679314, 0.0410976, 0.0552921, 0.0870627, 0.0772803, 0.0831701, 0.0799794, 0.070887, 0.0827297, 0.0796892, 0.105861, 0.110228, 0.0405642, 0.105409, 0.0901777, 0.0793966, 0.0957415, 0.0687494, 0.0779755, 0.0812781, 0.0685349, 0.100879, 0.0800141, 0.123074, 0.124636, 0.0961939, 0.0782962, 0.09038, 0.0803266, 0.0973557, 0.0661902, 0.0876232, 0.0856108, 0.0706146, 0.0698139, 0.116373, 0.0690287, 0.0811406, 0.110452, 0.105096, 0.0946639, 0.120884, 0.0754253, 0.138888, 0.0737177, 0.0685348, 0.075371, 
sq; 1e-05; 0.0550275, 0.0393212, 0.0957415, 0.0837377, 0.0551286, 0.0343987, 0.0296152, 0.0438627, 0.0825813, 0.0971268, 0.0492726, 0.0545514, 0.0750768, 0.0552921, 0.0661902, 0.0475851, 0.0552368, 0.0803266, 0.0796892, 0.0594404, 0.066645, 0.0854937, 0.0744602, 0.0793966, 0.0524176, 0.0713646, 0.105096, 0.0416147, 0.0873949, 0.0779755, 0.0799794, 0.0949138, 0.076234, 0.0706146, 0.063425, 0.0586051, 0.0410976, 0.0901777, 0.0827297, 0.0641735, 0.077979, 0.0625824, 0.0696911, 0.0728985, 0.11103, 0.0699648, 0.0679314, 0.102255, 0.0772803, 0.0848024, 0.0973908, 0.0558797, 0.0798362, 0.0685349, 0.118538, 0.0860459, 0.0690287, 0.0784244, 0.0790094, 0.0405642, 0.0870627, 0.0973557, 0.0946639, 0.124636, 0.105861, 0.138888, 0.0782962, 0.0602366, 0.0845292, 0.0782782, 0.103715, 0.0737177, 0.102006, 0.0812781, 0.0914165, 0.0922269, 0.070887, 0.0961939, 0.0653309, 0.110228, 0.0685348, 0.120884, 0.09038, 0.0811406, 0.0766693, 0.0945247, 0.075371, 0.0970138, 0.105409, 0.0687494, 0.0754253, 0.110452, 0.0800141, 0.0876232, 0.0698139, 0.100879, 0.0856108, 0.116373, 0.0831701, 0.123074, 
sqrt; 1e-05; 0.0343987, 0.0416147, 0.0552368, 0.0796892, 0.0784244, 0.0848024, 0.0625824, 0.118538, 0.0772803, 0.0728985, 0.0545514, 0.0744602, 0.0586051, 0.0713646, 0.0825813, 0.0550275, 0.0949138, 0.0973908, 0.0873949, 0.0914165, 0.0551286, 0.0827297, 0.0837377, 0.0393212, 0.0750768, 0.0492726, 0.0971268, 0.0798362, 0.0296152, 0.0524176, 0.0779755, 0.11103, 0.0641735, 0.0793966, 0.0558797, 0.0475851, 0.0699648, 0.0653309, 0.0696911, 0.0698139, 0.0602366, 0.0594404, 0.0405642, 0.066645, 0.0552921, 0.0766693, 0.0799794, 0.0922269, 0.0782962, 0.076234, 0.0410976, 0.103715, 0.102006, 0.0845292, 0.0687494, 0.0870627, 0.0661902, 0.0690287, 0.0438627, 0.0679314, 0.0856108, 0.102255, 0.0945247, 0.0854937, 0.0946639, 0.077979, 0.105096, 0.0800141, 0.123074, 0.0812781, 0.0803266, 0.063425, 0.070887, 0.0706146, 0.0860459, 0.105409, 0.0970138, 0.110228, 0.0957415, 0.100879, 0.0782782, 0.09038, 0.105861, 0.0685349, 0.0973557, 0.0876232, 0.0790094, 0.110452, 0.124636, 0.0811406, 0.0831701, 0.0901777, 0.0737177, 0.0961939, 0.0754253, 0.138888, 0.0685348, 0.116373, 0.120884, 0.075371, 
Normal; 2.15443e-05; 0.0462862, 0.0825813, 0.063425, 0.0766693, 0.0799794, 0.0725669, 0.0438627, 0.0625824, 0.0519724, 0.0696215, 0.0643321, 0.0699648, 0.0476888, 0.0416147, 0.0393212, 0.0696911, 0.0533413, 0.0641735, 0.0856715, 0.0728985, 0.0428128, 0.0552921, 0.0350684, 0.0578993, 0.0682685, 0.0685595, 0.0586051, 0.0655575, 0.102006, 0.0551286, 0.0872063, 0.0973908, 0.0565274, 0.0837377, 0.105861, 0.0961939, 0.0904443, 0.0774522, 0.0779755, 0.0410976, 0.103715, 0.102928, 0.0995875, 0.0545514, 0.0843175, 0.0825316, 0.0558797, 0.0835656, 0.062286, 0.11103, 0.0876232, 0.0854937, 0.0475851, 0.0772803, 0.124636, 0.077979, 0.0835783, 0.0977932, 0.070887, 0.0496388, 0.12627, 0.0827297, 0.083119, 0.0922269, 0.0945247, 0.100879, 0.0511103, 0.0626375, 0.0679314, 0.0754253, 0.0690287, 0.0721013, 0.0831701, 0.0870627, 0.102255, 0.0756382, 0.0676018, 0.0812781, 0.0737177, 0.0687494, 0.0594404, 0.132552, 0.085977, 0.0946639, 0.110797, 0.105409, 0.0823603, 0.0820342, 0.0881108, 0.09038, 0.0685348, 0.0957415, 0.123074, 0.116373, 0.138888, 0.0706146, 0.0698139, 0.120884, 0.0827709, 0.0653309, 
sq; 2.15443e-05; 0.0696215, 0.0545514, 0.0626375, 0.0696911, 0.0825813, 0.0565274, 0.0578993, 0.12627, 0.0462862, 0.0350684, 0.0682685, 0.0416147, 0.0393212, 0.0428128, 0.0728985, 0.0655575, 0.0876232, 0.0586051, 0.0799794, 0.0552921, 0.0551286, 0.0995875, 0.083119, 0.0476888, 0.085977, 0.0641735, 0.0837377, 0.103715, 0.0699648, 0.100879, 0.0973908, 0.0685595, 0.0594404, 0.0772803, 0.0843175, 0.0827709, 0.0856715, 0.077979, 0.0854937, 0.0410976, 0.0725669, 0.0827297, 0.0519724, 0.0475851, 0.0625824, 0.0756382, 0.0690287, 0.0438627, 0.0812781, 0.102006, 0.0558797, 0.105861, 0.0872063, 0.0835783, 0.102255, 0.0496388, 0.0779755, 0.11103, 0.138888, 0.0825316, 0.0687494, 0.062286, 0.102928, 0.0961939, 0.0766693, 0.124636, 0.0977932, 0.0643321, 0.0533413, 0.063425, 0.0945247, 0.0835656, 0.0870627, 0.0679314, 0.0922269, 0.0831701, 0.0706146, 0.0676018, 0.070887, 0.0820342, 0.0904443, 0.0698139, 0.0957415, 0.0881108, 0.132552, 0.0721013, 0.0754253, 0.0511103, 0.0823603, 0.09038, 0.0737177, 0.110797, 0.0946639, 0.120884, 0.0774522, 0.116373, 0.0685348, 0.105409, 0.123074, 0.0653309, 
sqrt; 2.15443e-05; 0.0533413, 0.0350684, 0.0594404, 0.0995875, 0.103715, 0.0799794, 0.0876232, 0.0856715, 0.0823603, 0.0772803, 0.0393212, 0.102928, 0.0551286, 0.0558797, 0.0685595, 0.0626375, 0.063425, 0.0462862, 0.0696911, 0.0696215, 0.077979, 0.12627, 0.0476888, 0.0837377, 0.0545514, 0.0641735, 0.11103, 0.0946639, 0.0416147, 0.0625824, 0.083119, 0.0586051, 0.0519724, 0.0496388, 0.0754253, 0.0682685, 0.0655575, 0.0904443, 0.0756382, 0.0728985, 0.102006, 0.0552921, 0.0961939, 0.0690287, 0.0843175, 0.0565274, 0.0825316, 0.0679314, 0.0725669, 0.0428128, 0.0870627, 0.0835783, 0.0854937, 0.0812781, 0.0578993, 0.0438627, 0.0699648, 0.0825813, 0.0721013, 0.0779755, 0.0410976, 0.0827297, 0.0475851, 0.102255, 0.085977, 0.0872063, 0.0766693, 0.0973908, 0.0698139, 0.0643321, 0.105861, 0.070887, 0.0511103, 0.0774522, 0.138888, 0.0737177, 0.0676018, 0.132552, 0.0687494, 0.123074, 0.0831701, 0.0706146, 0.0977932, 0.100879, 0.120884, 0.0957415, 0.0820342, 0.0685348, 0.110797, 0.0922269, 0.0881108, 0.0945247, 0.062286, 0.09038, 0.105409, 0.0835656, 0.0827709, 0.116373, 0.124636, 0.0653309, 
Normal; 4.64159e-05; 0.0463078, 0.0725669, 0.0742613, 0.0405628, 0.0699648, 0.0648122, 0.056278, 0.0760823, 0.0977932, 0.0588019, 0.0467603, 0.0995875, 0.0772648, 0.0682685, 0.0772803, 0.102928, 0.0823456, 0.0372792, 0.0606632, 0.0462862, 0.0592622, 0.0696215, 0.0378698, 0.0822569, 0.0791745, 0.0345966, 0.0667694, 0.0501911, 0.0919795, 0.0799794, 0.0774522, 0.0418916, 0.0728985, 0.0562205, 0.104173, 0.0721013, 0.0476888, 0.0551286, 0.0727049, 0.0588743, 0.0825296, 0.0577144, 0.111286, 0.0575602, 0.0595434, 0.0633175, 0.0559829, 0.0558797, 0.0459676, 0.0870627, 0.0695241, 0.0910642, 0.0973908, 0.0734762, 0.0947246, 0.0685364, 0.102006, 0.0876232, 0.0698139, 0.102867, 0.070887, 0.0756382, 0.10556, 0.0790094, 0.0648271, 0.0513652, 0.0517683, 0.0958871, 0.0779755, 0.0457575, 0.0726344, 0.078591, 0.0680219, 0.0767487, 0.0773264, 0.0856223, 0.105861, 0.0696164, 0.0945461, 0.0961939, 0.0970392, 0.0754253, 0.0676067, 0.0786153, 0.0511103, 0.102187, 0.1275, 0.0821546, 0.103867, 0.0706146, 0.068781, 0.0865986, 0.0838277, 0.110797, 0.0613453, 0.10381, 0.138888, 0.148609, 0.0958381, 0.09038, 
sq; 4.64159e-05; 0.0462862, 0.0728985, 0.0682685, 0.078591, 0.0696215, 0.0919795, 0.0467603, 0.0648122, 0.0372792, 0.0562205, 0.0773264, 0.0405628, 0.0685364, 0.0947246, 0.0592622, 0.0559829, 0.0876232, 0.056278, 0.0606632, 0.0772803, 0.0345966, 0.0822569, 0.0551286, 0.0823456, 0.0378698, 0.0699648, 0.0558797, 0.0418916, 0.0501911, 0.0575602, 0.0973908, 0.0457575, 0.0945461, 0.0577144, 0.0791745, 0.0476888, 0.0667694, 0.0742613, 0.102928, 0.0696164, 0.1275, 0.0511103, 0.102867, 0.0595434, 0.0463078, 0.0779755, 0.0725669, 0.0995875, 0.0958871, 0.0633175, 0.111286, 0.104173, 0.0517683, 0.0756382, 0.0588019, 0.0613453, 0.0459676, 0.0961939, 0.0977932, 0.0790094, 0.0760823, 0.0910642, 0.0680219, 0.0676067, 0.0588743, 0.0799794, 0.0721013, 0.10556, 0.102006, 0.0970392, 0.0726344, 0.0513652, 0.138888, 0.0774522, 0.0772648, 0.0786153, 0.0870627, 0.0648271, 0.068781, 0.0754253, 0.0821546, 0.0767487, 0.0865986, 0.0856223, 0.0825296, 0.070887, 0.0706146, 0.09038, 0.110797, 0.103867, 0.105861, 0.0958381, 0.0695241, 0.0734762, 0.148609, 0.10381, 0.102187, 0.0698139, 0.0838277, 0.0727049, 
sqrt; 4.64159e-05; 0.0682685, 0.0418916, 0.0345966, 0.0372792, 0.0501911, 0.0823456, 0.0467603, 0.0756382, 0.0970392, 0.0696215, 0.0699648, 0.0760823, 0.0476888, 0.0558797, 0.0511103, 0.0588019, 0.0575602, 0.0551286, 0.0648122, 0.0961939, 0.0562205, 0.0595434, 0.0742613, 0.056278, 0.0791745, 0.0919795, 0.0947246, 0.104173, 0.0786153, 0.0592622, 0.0772803, 0.0517683, 0.0995875, 0.0462862, 0.0977932, 0.0695241, 0.0606632, 0.0870627, 0.0405628, 0.0973908, 0.0822569, 0.0633175, 0.0648271, 0.102006, 0.0728985, 0.0667694, 0.068781, 0.0945461, 0.0958871, 0.0577144, 0.111286, 0.0799794, 0.102867, 0.0721013, 0.0680219, 0.0725669, 0.110797, 0.0779755, 0.0676067, 0.0910642, 0.0463078, 0.0559829, 0.0790094, 0.0856223, 0.0825296, 0.0821546, 0.0378698, 0.0774522, 0.103867, 0.0773264, 0.102187, 0.138888, 0.148609, 0.0876232, 0.0696164, 0.070887, 0.0698139, 0.0865986, 0.0726344, 0.10556, 0.102928, 0.0588743, 0.0685364, 0.0767487, 0.078591, 0.0457575, 0.0734762, 0.1275, 0.0754253, 0.0459676, 0.105861, 0.0513652, 0.09038, 0.0838277, 0.0958381, 0.0706146, 0.0772648, 0.0613453, 0.10381, 0.0727049, 
Normal; 0.0001; 0.0369913, 0.0476888, 0.0538139, 0.0823439, 0.0379617, 0.0388725, 0.0613453, 0.0502586, 0.0907722, 0.0637868, 0.0905997, 0.0699648, 0.0579797, 0.0557995, 0.0291833, 0.0362036, 0.0458976, 0.0296099, 0.0395916, 0.0464787, 0.0576054, 0.0919795, 0.104027, 0.0605253, 0.070816, 0.0821546, 0.0489998, 0.0860791, 0.0799794, 0.0381722, 0.0350612, 0.0676067, 0.0791745, 0.0834725, 0.0799504, 0.101627, 0.0552906, 0.0726704, 0.102187, 0.0691761, 0.0638956, 0.0995875, 0.0467603, 0.0789025, 0.074334, 0.0445269, 0.0578023, 0.0754657, 0.104305, 0.0634637, 0.0439957, 0.0589121, 0.0512247, 0.0670451, 0.0824301, 0.0882419, 0.0612345, 0.0463566, 0.092186, 0.0900942, 0.0784099, 0.0677301, 0.0974564, 0.0875893, 0.0973908, 0.0669638, 0.0697258, 0.0806235, 0.083119, 0.10556, 0.0259037, 0.0878042, 0.0856408, 0.0611088, 0.0535019, 0.0678763, 0.0788074, 0.104703, 0.0761752, 0.10198, 0.0457661, 0.0512788, 0.0545598, 0.115843, 0.103398, 0.11767, 0.0809758, 0.09038, 0.0772648, 0.0825043, 0.0677049, 0.077182, 0.0924077, 0.114605, 0.0867378, 0.0493769, 0.078591, 0.0849507, 0.130519, 0.0725459, 
