Algorithm;Hyperparameter (C);Values
G/UCT; 1e-05; 0.0408348, 0.0346995, 0.0466035, 0.0395218, 0.0487619, 0.038958, 0.0404696, 0.0373222, 0.0414472, 0.0410734, 0.0334267, 0.0427587, 0.0466274, 0.0388592, 0.0375972, 0.0332438, 0.0425082, 0.0352394, 0.0424768, 0.0384434, 0.0381954, 0.0375041, 0.0386823, 0.0402316, 0.0387791, 0.0321103, 0.032744, 0.041696, 0.038845, 0.0400923, 0.0356724, 0.0337188, 0.0369968, 0.0428792, 0.0388355, 0.0341541, 0.0299213, 0.0351765, 0.0357152, 0.0303906, 0.0397061, 0.0378271, 0.0369372, 0.0367846, 0.0354439, 0.0344473, 0.0419161, 0.0295563, 0.052048, 0.0371654, 0.0398403, 0.0319503, 0.0347425, 0.0361155, 0.0325958, 0.0373975, 0.0310268, 0.0353651, 0.0371595, 0.0357995, 0.0338568, 0.0356949, 0.0261439, 0.0357956, 0.0305592, 0.0430124, 0.0419931, 0.0288887, 0.0379737, 0.0273068, 0.039786, 0.0324069, 0.0309843, 0.0284174, 0.030705, 0.0407325, 0.0297406, 0.0283354, 0.0208827, 0.0306144, 0.0421196, 0.0249054, 0.0286926, 0.0394278, 0.0336323, 0.0297565, 0.0285158, 0.0212842, 0.0237751, 0.0370592, 0.0268533, 0.022121, 0.0355691, 0.02118, 0.0252298, 0.027687, 0.0208661, 0.0214169, 0.0247461, 0.0279157, 
G/Tun; 1e-05; 0.0370862, 0.0387892, 0.0371785, 0.0317998, 0.0413543, 0.0358116, 0.0352756, 0.0362411, 0.0319702, 0.0368577, 0.0435887, 0.0334723, 0.0354469, 0.010749, 0.0441143, 0.0380933, 0.037249, 0.0408195, 0.0338342, 0.0380686, 0.0397005, 0.0356008, 0.0307209, 0.0382595, 0.0310194, 0.0222218, 0.0330418, 0.0448387, 0.0418835, 0.0310127, 0.0333524, 0.0385843, 0.0394626, 0.0400946, 0.0241743, 0.0366031, 0.0314616, 0.0328022, 0.0329805, 0.0358432, 0.0399036, 0.0253442, 0.0360787, 0.0423247, 0.0391671, 0.0380429, 0.0386042, 0.0362951, 0.0414152, 0.0503417, 0.0464805, 0.0396984, 0.0392964, 0.044678, 0.0454283, 0.0320479, 0.0372184, 0.0376758, 0.0371742, 0.0350954, 0.0529584, 0.0414615, 0.0253047, 0.0306475, 0.0284872, 0.033234, 0.0336471, 0.0366085, 0.0221279, 0.0278201, 0.0332632, 0.0385238, 0.027361, 0.0228092, 0.0322855, 0.0345238, 0.0224633, 0.0269475, 0.0461445, 0.0290435, 0.0344613, 0.0255582, 0.0249131, 0.0423666, 0.0298801, 0.0384201, 0.0282523, 0.0196122, 0.0261953, 0.0197196, 0.0416712, 0.0309725, 0.0322653, 0.0387042, 0.036523, 0.03529, 0.0357669, 0.0355596, 0.02795, 0.0418752, 
G/SP; 1e-05; 0.0026661, 0.00530959, 0.00266585, 0.00523315, 0.00266584, 0.00328776, 0.00266504, 0.00332834, 0.00333313, 0.00461635, 0.00266527, 0.00266638, 0.00266611, 0.00199999, 0.00266605, 0.00333135, 0.00462516, 0.00332752, 0.00321301, 0.00399096, 0.00199973, 0.00399331, 0.00333325, 0.00199993, 0.00266641, 0.00331242, 0.00266657, 0.00266548, 0.002, 0.00266654, 0.00333325, 0.00333216, 0.00460317, 0.00266656, 0.00266636, 0.00399433, 0.00266639, 0.00266135, 0.00266108, 0.0026647, 0.00312015, 0.00266646, 0.00264418, 0.00332851, 0.00266666, 0.00199995, 0.00333295, 0.00332987, 0.00266594, 0.00199997, 0.00199979, 0.00333306, 0.00265724, 0.00331211, 0.00331283, 0.00266227, 0.00333315, 0.00266657, 0.00266603, 0.003332, 0.00333213, 0.00399719, 0.00266533, 0.0026648, 0.00266433, 0.00266541, 0.00332761, 0.00265322, 0.00399654, 0.00266012, 0.00266584, 0.00199998, 0.00199985, 0.00332804, 0.00331574, 0.00266665, 0.00461159, 0.00329155, 0.00324498, 0.00199647, 0.0026666, 0.00266508, 0.00266627, 0.00332143, 0.00331488, 0.00333307, 0.0026666, 0.00331865, 0.00332776, 0.00266498, 0.0039551, 0.00266612, 0.00333315, 0.00456928, 0.00333213, 0.002, 0.00199999, 0.0019999, 0.00331852, 0.0033325, 
G/Dep; 1e-05; 0.0343623, 0.0408069, 0.0417346, 0.0389922, 0.0412778, 0.0359417, 0.0417638, 0.0313616, 0.0388068, 0.031643, 0.040049, 0.0316363, 0.0376132, 0.0302295, 0.0421991, 0.0338289, 0.0341246, 0.0392347, 0.0382708, 0.0354648, 0.0361759, 0.048999, 0.037581, 0.0334775, 0.0287785, 0.0432252, 0.0308514, 0.0354139, 0.0382511, 0.0346507, 0.0453957, 0.0398339, 0.0391408, 0.039424, 0.0373507, 0.0381077, 0.0307358, 0.0343615, 0.0394205, 0.034185, 0.0374652, 0.0351824, 0.0339595, 0.0415327, 0.0416501, 0.0381176, 0.0400145, 0.0324429, 0.0299241, 0.0373918, 0.0356615, 0.0367676, 0.0364886, 0.0338481, 0.0384456, 0.0318104, 0.0310984, 0.0338062, 0.0365258, 0.0355343, 0.034, 0.0333891, 0.0270535, 0.0387509, 0.0264211, 0.0392564, 0.0436713, 0.0368148, 0.0274974, 0.032414, 0.0313663, 0.0330886, 0.0411093, 0.03686, 0.0289053, 0.0370837, 0.0299304, 0.0354005, 0.0302634, 0.0423533, 0.0208965, 0.0393936, 0.0365811, 0.0366611, 0.0319134, 0.0349337, 0.0429301, 0.0295074, 0.0328709, 0.0310147, 0.0227819, 0.0361232, 0.0259261, 0.0296774, 0.0351527, 0.023699, 0.025785, 0.0270092, 0.0273533, 0.0266634, 
G/Gre; 1e-05; 0.0466035, 0.0373222, 0.0212842, 0.0351765, 0.0361155, 0.0346995, 0.0338568, 0.0273068, 0.0354439, 0.022121, 0.0208661, 0.0299213, 0.0355691, 0.0378271, 0.0397061, 0.0288887, 0.0285158, 0.0341541, 0.0303906, 0.0381954, 0.0252298, 0.0261439, 0.0208827, 0.0379737, 0.0321103, 0.0337188, 0.0283354, 0.0388592, 0.0357995, 0.0305592, 0.0324069, 0.0371595, 0.0357152, 0.0356724, 0.0388355, 0.0325958, 0.0369968, 0.0334267, 0.0295563, 0.030705, 0.0424768, 0.0286926, 0.0352394, 0.0336323, 0.0369372, 0.0425082, 0.0306144, 0.0394278, 0.0237751, 0.0387791, 0.0410734, 0.0414472, 0.0357956, 0.0373975, 0.0347425, 0.0419931, 0.0386823, 0.0408348, 0.0214169, 0.0319503, 0.0395218, 0.0384434, 0.0297406, 0.0371654, 0.039786, 0.0375972, 0.052048, 0.0375041, 0.0310268, 0.0367846, 0.0402316, 0.0370592, 0.0430124, 0.0428792, 0.0427587, 0.0284174, 0.0419161, 0.0466274, 0.0407325, 0.0356949, 0.0487619, 0.0268533, 0.0353651, 0.0400923, 0.0398403, 0.038958, 0.0309843, 0.038845, 0.0297565, 0.0249054, 0.041696, 0.027687, 0.02118, 0.0404696, 0.0344473, 0.0279157, 0.0332438, 0.032744, 0.0421196, 0.0247461, 
G/Sqrt; 1e-05; 0.0346995, 0.0273068, 0.0354439, 0.0338568, 0.0379737, 0.0208661, 0.0336323, 0.0341541, 0.022121, 0.0299213, 0.0208827, 0.0286926, 0.0388592, 0.0375972, 0.0352394, 0.0356724, 0.0303906, 0.0408348, 0.0214169, 0.0369372, 0.0237751, 0.0325958, 0.0334267, 0.0324069, 0.0305592, 0.0297406, 0.0261439, 0.0466274, 0.0397061, 0.0357152, 0.0332438, 0.0212842, 0.030705, 0.0384434, 0.0414472, 0.0310268, 0.0347425, 0.0288887, 0.0306144, 0.0357956, 0.0381954, 0.0249054, 0.0321103, 0.0394278, 0.0388355, 0.0371595, 0.039786, 0.0309843, 0.0373975, 0.0252298, 0.0386823, 0.0370592, 0.0351765, 0.0404696, 0.0371654, 0.0357995, 0.038845, 0.0268533, 0.0297565, 0.0378271, 0.0356949, 0.0428792, 0.0353651, 0.0398403, 0.0337188, 0.052048, 0.0419161, 0.0400923, 0.0319503, 0.0410734, 0.032744, 0.0369968, 0.0387791, 0.0402316, 0.0427587, 0.0295563, 0.0283354, 0.0466035, 0.038958, 0.0407325, 0.0425082, 0.0375041, 0.0419931, 0.0487619, 0.0344473, 0.0430124, 0.041696, 0.0373222, 0.0424768, 0.0285158, 0.0367846, 0.0421196, 0.0279157, 0.02118, 0.0395218, 0.027687, 0.0361155, 0.0284174, 0.0355691, 0.0247461, 
G/UCT; 2.15443e-05; 0.0450138, 0.0417106, 0.0491588, 0.0371453, 0.0411558, 0.0439357, 0.0372248, 0.0415091, 0.0380186, 0.0388562, 0.0378333, 0.0417585, 0.0372754, 0.0382422, 0.0454587, 0.0409646, 0.0399519, 0.0383041, 0.0309927, 0.0421438, 0.0345086, 0.0405204, 0.0536159, 0.0349373, 0.0385485, 0.0372906, 0.0371875, 0.041178, 0.0398791, 0.034309, 0.0350818, 0.034809, 0.037383, 0.0370558, 0.0389367, 0.0303906, 0.0385792, 0.0418171, 0.0382183, 0.0426223, 0.038594, 0.0364452, 0.0350706, 0.0377558, 0.0343964, 0.0437486, 0.0386455, 0.0436258, 0.0374133, 0.0373131, 0.0250904, 0.0362308, 0.0335166, 0.0368309, 0.0323877, 0.0392749, 0.0390357, 0.0296345, 0.0302275, 0.0376483, 0.0352791, 0.0216306, 0.031512, 0.0266162, 0.0284198, 0.0374542, 0.0334362, 0.0291213, 0.0336205, 0.0297875, 0.0363898, 0.0271996, 0.0251803, 0.0325606, 0.0307514, 0.0303188, 0.027966, 0.025044, 0.0345293, 0.0323774, 0.0371367, 0.0402345, 0.0350986, 0.0319595, 0.0273089, 0.0226075, 0.0309915, 0.0310548, 0.0317172, 0.0306774, 0.0374389, 0.0424425, 0.0305924, 0.033874, 0.0331773, 0.0280424, 0.0278328, 0.0285171, 0.0249735, 0.0307566, 
G/Tun; 2.15443e-05; 0.0315502, 0.0402444, 0.0330787, 0.0386656, 0.0403249, 0.0429103, 0.0432531, 0.0359367, 0.0476105, 0.0417818, 0.0321753, 0.042355, 0.0338449, 0.0346, 0.0313668, 0.0383478, 0.0406791, 0.0374528, 0.040569, 0.0398718, 0.0382664, 0.0403344, 0.0333086, 0.0371212, 0.0432192, 0.0390653, 0.035246, 0.0371834, 0.0429633, 0.0321011, 0.0486057, 0.034351, 0.0325942, 0.0356707, 0.0301706, 0.0402903, 0.0400357, 0.0367309, 0.0414059, 0.0418158, 0.0361037, 0.0367476, 0.0209957, 0.0403971, 0.0366743, 0.0362459, 0.0308973, 0.0287512, 0.0312034, 0.0286173, 0.0375608, 0.0364765, 0.0301534, 0.03493, 0.0303682, 0.0337572, 0.0329042, 0.0358696, 0.0432333, 0.0265779, 0.0282173, 0.0370582, 0.0353813, 0.0283399, 0.0324712, 0.0382224, 0.0386604, 0.0327398, 0.0309667, 0.0349504, 0.0417205, 0.0245169, 0.0324311, 0.0376668, 0.0307112, 0.0244237, 0.0334454, 0.0332468, 0.0343131, 0.0220829, 0.0299746, 0.0334948, 0.0355469, 0.0426559, 0.0429314, 0.0384953, 0.0281766, 0.017726, 0.0249646, 0.0277179, 0.031624, 0.031518, 0.0267745, 0.0214741, 0.031518, 0.0274361, 0.0305755, 0.0236972, 0.0358928, 0.0401782, 
G/SP; 2.15443e-05; 0.00266627, 0.00199997, 0.00266498, 0.00199998, 0.00266605, 0.00199993, 0.00331283, 0.00399433, 0.00266665, 0.00199999, 0.00264418, 0.00266636, 0.00266585, 0.002, 0.00266594, 0.00266108, 0.0019999, 0.00462516, 0.00332752, 0.00333213, 0.00266611, 0.00266504, 0.0033325, 0.00266584, 0.00461635, 0.00332776, 0.00333213, 0.00460317, 0.00266641, 0.0026666, 0.00332804, 0.00266584, 0.00266227, 0.00199647, 0.00530959, 0.00523315, 0.00266548, 0.00332987, 0.00333313, 0.00399096, 0.00266012, 0.00331574, 0.00333306, 0.00332143, 0.00199979, 0.00199999, 0.00199995, 0.0039551, 0.00321301, 0.002, 0.00266654, 0.00331865, 0.00331852, 0.00266638, 0.00266612, 0.00312015, 0.00199973, 0.00331242, 0.00266657, 0.00333135, 0.00333295, 0.00332834, 0.00332851, 0.00399654, 0.00266433, 0.00399331, 0.00266639, 0.00333325, 0.00333315, 0.00333307, 0.00331488, 0.00266135, 0.00333315, 0.00331211, 0.00333216, 0.00266533, 0.0026661, 0.00332761, 0.00456928, 0.00266646, 0.00329155, 0.00333325, 0.00265322, 0.00328776, 0.0026666, 0.0026647, 0.0026648, 0.003332, 0.00265724, 0.00461159, 0.00266603, 0.00266527, 0.00266541, 0.00266666, 0.00266508, 0.00399719, 0.00266657, 0.00199985, 0.00266656, 0.00324498, 
G/Dep; 2.15443e-05; 0.0416801, 0.0311798, 0.0392723, 0.0346525, 0.0425858, 0.0407056, 0.0360436, 0.0448857, 0.0332132, 0.0424075, 0.0493683, 0.0442212, 0.0352206, 0.0484546, 0.0407609, 0.0384343, 0.0381019, 0.0391097, 0.0435693, 0.0320679, 0.038003, 0.0347037, 0.0430409, 0.0368858, 0.0390282, 0.0321509, 0.0464881, 0.0428967, 0.0418918, 0.0422089, 0.0322002, 0.040442, 0.0395172, 0.0361665, 0.030206, 0.0343407, 0.0501613, 0.0440332, 0.0487881, 0.0295578, 0.0392574, 0.0325259, 0.0312834, 0.0331903, 0.0316229, 0.0332492, 0.0319141, 0.0286403, 0.0335919, 0.0371661, 0.0369123, 0.0351036, 0.0282284, 0.0230756, 0.0418171, 0.0326893, 0.0284976, 0.032574, 0.0375692, 0.02869, 0.0382524, 0.0229244, 0.0269596, 0.0353276, 0.0281692, 0.0351067, 0.0373829, 0.0314231, 0.0268875, 0.0286922, 0.0260438, 0.0361416, 0.0357031, 0.0216599, 0.0327518, 0.0342125, 0.0329395, 0.0283705, 0.0387074, 0.0339262, 0.0414989, 0.0295661, 0.0360736, 0.0335747, 0.0374557, 0.0363742, 0.0276765, 0.0308254, 0.0275596, 0.0322131, 0.0325852, 0.0360751, 0.0260052, 0.0265324, 0.0325317, 0.0215476, 0.0367609, 0.0360997, 0.040324, 0.0294504, 
