Algorithm;Hyperparameter (C);Values
Grid State Space; 1e-05; 0.0692434, 0.092524, 0.0873126, 0.114444, 0.067775, 0.0571376, 0.0402548, 0.0779209, 0.0830404, 0.0873152, 0.0901514, 0.0591828, 0.0882371, 0.0432651, 0.118957, 0.0786017, 0.11252, 0.0866415, 0.0999072, 0.0854609, 0.0876906, 0.0675949, 0.0704503, 0.0676537, 0.0524056, 0.0942708, 0.0511201, 0.069308, 0.114135, 0.106031, 0.0840257, 0.112516, 0.0955678, 0.0930559, 0.067217, 0.0971233, 0.109609, 0.0844254, 0.102122, 0.0905444, 0.0986131, 0.110897, 0.112135, 0.0894229, 0.0798035, 0.112516, 0.106379, 0.0993693, 0.0848375, 0.0848241, 0.0686046, 0.0804359, 0.0912431, 0.0941585, 0.114135, 0.0882871, 0.0696828, 0.114444, 0.112516, 0.0930559, 0.115745, 0.114135, 0.100821, 0.0840817, 0.109269, 0.115745, 0.110897, 0.110897, 0.115745, 0.112516, 0.109269, 0.0935766, 0.114135, 0.114444, 0.0919533, 0.115745, 0.109931, 0.112516, 0.0993693, 0.109269, 0.109269, 0.110897, 0.0910518, 0.109269, 0.0769436, 0.0732955, 0.0662621, 0.0732886, 0.0706101, 0.0827704, 0.0928676, 0.0854963, 0.0643637, 0.101337, 0.115745, 0.107646, 0.0899559, 0.0910518, 0.115745, 0.112516, 
Grid State Exact; 1e-05; 0.00359601, 0.00996941, 0.00287963, 0.00581698, 0.010174, 0.00633122, 0.0126515, 0.0145636, 0.0109182, 0.0135295, 0.0117437, 0.00718978, 0.0118027, 0.00856364, 0.0159394, 0.013179, 0.0319024, 0.0111046, 0.0202307, 0.0380069, 0.0156052, 0.0376183, 0.00943646, 0.0183939, 0.0117662, 0.0129632, 0.0227042, 0.0132084, 0.00707346, 0.0173011, 0.0699734, 0.0097299, 0.0507632, 0.00940651, 0.0471764, 0.0167726, 0.0251954, 0.0144278, 0.0111566, 0.0539911, 0.0610832, 0.0178611, 0.0335644, 0.0545429, 0.040911, 0.0079534, 0.0193263, 0.0232038, 0.0161656, 0.00850996, 0.0338691, 0.0226148, 0.0239556, 0.0676833, 0.0298033, 0.0732487, 0.0101323, 0.0265644, 0.017831, 0.019258, 0.0255918, 0.0241923, 0.00619868, 0.0527447, 0.0214434, 0.0685837, 0.0149555, 0.0152248, 0.0337694, 0.0408054, 0.0316916, 0.0132799, 0.055098, 0.00979444, 0.0430912, 0.0175827, 0.0667721, 0.0151875, 0.0889976, 0.0104582, 0.0300791, 0.0097252, 0.0147341, 0.0531854, 0.0139408, 0.0229892, 0.011833, 0.0114341, 0.0251549, 0.00833259, 0.0469124, 0.0245071, 0.011495, 0.00864798, 0.00776945, 0.0151011, 0.0373434, 0.0245453, 0.0108239, 0.0110277, 
Deterministic State Space; 1e-05; 0.0206771, 
Improved Split State Space; 1e-05; 0.032899, 0.0363163, 0.0303424, 0.0310674, 0.0391981, 0.0430558, 0.031999, 0.0289792, 0.0337671, 0.0422768, 0.0443665, 0.0403919, 0.0401675, 0.0325177, 0.0354392, 0.0402172, 0.0435772, 0.0345068, 0.0370729, 0.0390758, 0.0391441, 0.0531511, 0.0340961, 0.0432195, 0.0362892, 0.0440096, 0.0408148, 0.0391449, 0.0434666, 0.0281608, 0.0384136, 0.0411143, 0.039504, 0.0443274, 0.0342632, 0.057126, 0.0445141, 0.0337908, 0.0464013, 0.0450302, 0.0456193, 0.0563568, 0.0355881, 0.0448794, 0.0548871, 0.0496846, 0.0564951, 0.054583, 0.0557488, 0.0522064, 0.0457115, 0.0569141, 0.0606991, 0.057645, 0.0443681, 0.0567295, 0.0401211, 0.0437264, 0.0463971, 0.0547265, 0.0464218, 0.0545202, 0.0565912, 0.0479918, 0.0464535, 0.0522304, 0.0580758, 0.0322164, 0.0587951, 0.0564826, 0.0565959, 0.0539358, 0.0601199, 0.0661024, 0.0557213, 0.0432552, 0.0556038, 0.0337049, 0.064498, 0.0595559, 0.041805, 0.0868951, 0.0398053, 0.0557276, 0.0824949, 0.0634388, 0.0582176, 0.0839329, 0.0405358, 0.0814262, 0.083957, 0.0884511, 0.056638, 0.055793, 0.0573401, 0.083957, 0.0592121, 0.0869531, 0.0884511, 0.083957, 
Improved Exact Space; 1e-05; 0.0359343, 0.0312968, 0.0249772, 0.0230915, 0.0215997, 0.0291657, 0.0209104, 0.0544334, 0.0537529, 0.043117, 0.0378863, 0.0488863, 0.0243702, 0.0365167, 0.0259777, 0.02027, 0.0260291, 0.0408475, 0.0356749, 0.0395075, 0.037785, 0.0240398, 0.0460104, 0.0211177, 0.0494003, 0.02322, 0.0293433, 0.0326278, 0.0338442, 0.0259876, 0.0343812, 0.04534, 0.0680157, 0.0342132, 0.0233088, 0.0303891, 0.0248052, 0.0228273, 0.043332, 0.0590686, 0.0542449, 0.0482635, 0.0484929, 0.0378478, 0.0337773, 0.0433983, 0.0374288, 0.0417495, 0.0561021, 0.0225523, 0.0379509, 0.0403473, 0.0196942, 0.0259918, 0.0813394, 0.0257198, 0.0271451, 0.0319832, 0.0490729, 0.0552996, 0.0437506, 0.0206925, 0.0246108, 0.0196146, 0.0703193, 0.0330302, 0.0315883, 0.0269746, 0.0244111, 0.0566124, 0.054382, 0.029709, 0.0323921, 0.0471801, 0.0233279, 0.0444183, 0.0388631, 0.0184661, 0.0352536, 0.0362982, 0.0757874, 0.022263, 0.0446345, 0.027984, 0.0221835, 0.0493371, 0.0357648, 0.0213417, 0.0200151, 0.0440809, 0.0201549, 0.0242201, 0.0316713, 0.0202129, 0.0461486, 0.0597015, 0.0535721, 0.0493014, 0.0275437, 0.0612252, 
Point State Space; 1e-05; 0.0145084, 0.00252348, 0.00675066, 0.00398337, 0.00275446, 7.24426e-05, 0.00308062, 0.00620221, 0.0032619, 0.000552643, 0.00868885, 0.00593929, 0.00720764, 0.000800849, 0.0142108, 0.0064421, 0.00328872, 0.00204728, 0.000385367, 0.000910633, 0.00669428, 0.00744615, 0.0119079, 0.000204923, 0.00339439, 0.00284311, 0.00654694, 0.000279359, 0.00773377, 0.00410627, 0.00437738, 0.00264016, 0.00291884, 0.00259044, 0.000216585, 0.000174292, 0.0286912, 0.00164135, 0.00358636, 0.0130429, 0.000932749, 0.00465203, 0.00703168, 0.00909569, 0.00232009, 0.0200056, 0.00629031, 0.0063424, 0.00347963, 0.0290841, 0.00734669, 0.00162342, 0.00312329, 0.024136, 0.00209406, 0.00587074, 0.00234763, 0.00295576, 0.0157445, 0.00819104, 0.0142598, 0.0153241, 0.0128109, 0.0231299, 0.0196775, 0.00714345, 0.0307416, 0.00363397, 0.00327469, 0.00819623, 0.00466983, 0.00531688, 0.0214614, 0.0129144, 0.0409222, 0.0103378, 0.00429978, 0.00255274, 0.00749751, 0.00589524, 0.0129646, 0.0069596, 0.0196691, 0.00360725, 0.00733369, 0.0112221, 0.00548768, 0.00624874, 0.0227614, 0.0228928, 0.0481377, 0.0127099, 0.00528759, 0.0141421, 0.00437756, 0.00275698, 0.00277505, 0.00833792, 0.00396625, 0.0108104, 
Grid State Space; 2.15443e-05; 0.0727304, 0.11091, 0.0692247, 0.0821655, 0.0829665, 0.0785741, 0.0900827, 0.0786134, 0.0930559, 0.0852456, 0.107994, 0.0538914, 0.0987184, 0.102823, 0.114444, 0.0787426, 0.109286, 0.0679514, 0.0771637, 0.0803172, 0.105442, 0.0827347, 0.0962595, 0.083211, 0.0863315, 0.0663829, 0.0879969, 0.0948686, 0.103337, 0.0968233, 0.0909771, 0.0944578, 0.0824449, 0.0948761, 0.114135, 0.106083, 0.112516, 0.0808174, 0.094267, 0.110897, 0.0967437, 0.0901514, 0.0696159, 0.0749362, 0.0812225, 0.0870879, 0.0959001, 0.0911657, 0.0812055, 0.081398, 0.0818024, 0.0912394, 0.115749, 0.112516, 0.112516, 0.0818816, 0.0718017, 0.101618, 0.0874845, 0.0946835, 0.0850725, 0.0869507, 0.0882233, 0.0993653, 0.0789514, 0.0856569, 0.0928676, 0.0894192, 0.0930559, 0.0894229, 0.109269, 0.0866415, 0.114135, 0.114135, 0.114135, 0.0946835, 0.0851814, 0.109931, 0.112516, 0.112516, 0.0899485, 0.0797753, 0.0667464, 0.0608552, 0.0676041, 0.0845732, 0.109286, 0.0684484, 0.104033, 0.0899595, 0.0487631, 0.0978618, 0.0814275, 0.0955678, 0.0877589, 0.115745, 0.112516, 0.0729376, 0.102867, 0.114135, 
Grid State Exact; 2.15443e-05; 0.011833, 0.0100649, 0.0116937, 0.0126515, 0.0149555, 0.0106833, 0.0159394, 0.00747413, 0.0111046, 0.0084812, 0.014097, 0.0227042, 0.00707346, 0.0118027, 0.0117662, 0.0136681, 0.0200355, 0.0232038, 0.0319024, 0.0251549, 0.0132084, 0.0380069, 0.0135295, 0.0151011, 0.013179, 0.0699734, 0.0539911, 0.040911, 0.0114341, 0.0229892, 0.0251954, 0.012299, 0.0144278, 0.0502728, 0.0178611, 0.0527447, 0.0175827, 0.00858647, 0.0296078, 0.0610832, 0.0471764, 0.0115995, 0.0139408, 0.055098, 0.0169679, 0.0265644, 0.0163119, 0.0373434, 0.0376183, 0.0430912, 0.0452543, 0.00979444, 0.0119769, 0.0667721, 0.0507632, 0.0236751, 0.0298033, 0.0106437, 0.0259269, 0.0685837, 0.0105434, 0.0300791, 0.0337694, 0.0545429, 0.0110277, 0.0232685, 0.0079534, 0.0107898, 0.017831, 0.0193263, 0.0324626, 0.0676833, 0.00620883, 0.0167726, 0.0152248, 0.0322522, 0.0151875, 0.00732815, 0.0241923, 0.0344098, 0.0124609, 0.0214434, 0.0106368, 0.0531854, 0.0126372, 0.00885737, 0.0173011, 0.00833259, 0.0271864, 0.00940651, 0.0183939, 0.0129632, 0.0197798, 0.00633122, 0.0248043, 0.0220016, 0.0732487, 0.00741678, 0.0171637, 0.0889976, 
Deterministic State Space; 2.15443e-05; 0.0206771, 
Improved Split State Space; 2.15443e-05; 0.0248776, 0.0322406, 0.0345226, 0.0345377, 0.0343182, 0.0362167, 0.054897, 0.0342983, 0.0360266, 0.0410764, 0.0320796, 0.0304646, 0.0397854, 0.0402215, 0.0404466, 0.0391317, 0.0355976, 0.0413732, 0.0401386, 0.0387657, 0.0330986, 0.042396, 0.043223, 0.0412113, 0.0550732, 0.039538, 0.0452671, 0.0407048, 0.0419896, 0.042711, 0.0389633, 0.0400244, 0.0572082, 0.0394805, 0.0410761, 0.0457746, 0.0644654, 0.0436077, 0.0468357, 0.0343853, 0.0380983, 0.0456286, 0.0390315, 0.0534151, 0.0597805, 0.0488094, 0.0577974, 0.0403626, 0.0608836, 0.0564285, 0.0525556, 0.0538198, 0.058366, 0.0598005, 0.0577204, 0.0569521, 0.0514707, 0.0450315, 0.0439189, 0.0513931, 0.0529549, 0.0595053, 0.0576144, 0.0554245, 0.0509969, 0.0571399, 0.0563875, 0.0533679, 0.0624772, 0.054326, 0.0675043, 0.0419311, 0.0549399, 0.0621468, 0.043098, 0.0416973, 0.0568244, 0.0391715, 0.0365238, 0.0557011, 0.0443881, 0.0451116, 0.0548242, 0.0321214, 0.0695931, 0.0605167, 0.0608402, 0.0582164, 0.05691, 0.0465157, 0.0793823, 0.080961, 0.0527473, 0.083957, 0.083957, 0.0884511, 0.0722184, 0.0398877, 0.0808804, 0.0824441, 
