1500,20
0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,0.0434783,
0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,0.0869565,
0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,0.130435,
0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,0.173913,
0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,0.217391,
0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,0.26087,
0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,
0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,0.347826,
0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,0.391304,
0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,0.434783,
0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,0.478261,
0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,0.521739,
0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,0.565217,
0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,0.608696,
0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,0.652174,
0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,
0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,0.73913,
0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,
