50,4
0.5,0.333333,0.2,0.142857,
0.25,0.666667,0.4,0.285714,
0.75,0.111111,0.6,0.428571,
0.125,0.444444,0.8,0.571429,
0.625,0.777778,0.04,0.714286,
0.375,0.222222,0.24,0.857143,
0.875,0.555556,0.44,0.0204082,
0.0625,0.888889,0.64,0.163265,
0.5625,0.037037,0.84,0.306122,
0.3125,0.37037,0.08,0.44898,
0.8125,0.703704,0.28,0.591837,
0.1875,0.148148,0.48,0.734694,
0.6875,0.481481,0.68,0.877551,
0.4375,0.814815,0.88,0.0408163,
0.9375,0.259259,0.12,0.183673,
0.03125,0.592593,0.32,0.326531,
0.53125,0.925926,0.52,0.469388,
0.28125,0.0740741,0.72,0.612245,
0.78125,0.407407,0.92,0.755102,
0.15625,0.740741,0.16,0.897959,
0.65625,0.185185,0.36,0.0612245,
0.40625,0.518519,0.56,0.204082,
0.90625,0.851852,0.76,0.346939,
0.09375,0.296296,0.96,0.489796,
0.59375,0.62963,0.008,0.632653,
0.34375,0.962963,0.208,0.77551,
0.84375,0.0123457,0.408,0.918367,
0.21875,0.345679,0.608,0.0816327,
0.71875,0.679012,0.808,0.22449,
0.46875,0.123457,0.048,0.367347,
0.96875,0.45679,0.248,0.510204,
0.015625,0.790123,0.448,0.653061,
0.515625,0.234568,0.648,0.795918,
0.265625,0.567901,0.848,0.938776,
0.765625,0.901235,0.088,0.102041,
0.140625,0.0493827,0.288,0.244898,
0.640625,0.382716,0.488,0.387755,
0.390625,0.716049,0.688,0.530612,
0.890625,0.160494,0.888,0.673469,
0.078125,0.493827,0.128,0.816327,
0.578125,0.82716,0.328,0.959184,
0.328125,0.271605,0.528,0.122449,
0.828125,0.604938,0.728,0.265306,
0.203125,0.938272,0.928,0.408163,
0.703125,0.0864198,0.168,0.55102,
0.453125,0.419753,0.368,0.693878,
0.953125,0.753086,0.568,0.836735,
0.046875,0.197531,0.768,0.979592,
0.546875,0.530864,0.968,0.00291545,
0.296875,0.864198,0.016,0.145773,
